gene,mean_expression
PEA15,0.69972668790462
PPP1R14B,0.699202606960243
FAM162A,0.698791115982643
SCP2,0.6986846421530705
SLC3A2,0.6980648340768372
ITGAV,0.6975870863195287
PPP1CC,0.69577955301629
CYB5R3,0.6949567303110827
UGP2,0.6939721945796581
P4HB,0.6933298754869708
WNK1,0.6933110879105053
PPA1,0.6923775427191463
MYO1C,0.692260871166425
UBE2L3,0.6917211822425293
MRPL52,0.6911449295696833
DNAJB1,0.690982351289285
TOLLIP,0.6904441083454533
ANXA7,0.6903305719822448
PLXNB2,0.6902428043401794
TRAPPC2L,0.6887086995982177
PSMD11,0.6880084975369719
PPP4C,0.687741199125912
COTL1,0.6874150910371581
TACSTD2,0.6873938397362532
VWF,0.6871619555877139
STAT2,0.6869948661781304
ECHS1,0.686363946029682
SEC13,0.6860162732222223
SNRPB,0.6850757063520665
CA12,0.6849552332269435
IER2,0.6849285208971689
WSB1,0.6849225336895478
STRAP,0.6841365238589956
NOP56,0.6837429195050372
LAMP2,0.6828313605576162
SAR1A,0.6827236766254665
ADAR,0.6826497206082013
SLC9A3R1,0.6823570300510388
DIO2,0.6809133813278565
VPS29,0.6806906227589837
HM13,0.6803518916104013
CLTB,0.6800007451547693
ARHGEF12,0.6795121258655131
SARS,0.6793105612626139
COPZ1,0.6791283381695778
PYCARD,0.6787820850677838
COL15A1,0.6785067700540388
C14orf166,0.676854227651034
STT3B,0.676343172541912
ATP5C1,0.6752238465559404
THBS1,0.6749805753298154
SREK1IP1,0.6736438525038839
NBL1,0.6735571315697092
RNF149,0.6731981717987566
METRNL,0.6726097909129218
LIMA1,0.6723346016462276
ANP32B,0.6693119085486362
CD164,0.6689034640196933
ANAPC11,0.6687662731239338
CEBPD,0.6687659602242195
TUBA1A,0.6687184641544788
PPL,0.6681818896966265
PSMB2,0.6673538813133113
S100A13,0.666680444870761
MRPS34,0.6663141568370213
CYBA,0.6660234340719434
IFITM2,0.6655966694534614
SNRPD3,0.6655693509622126
SRP9,0.6648637018851097
ARPC1A,0.6641578767572017
NDUFC1,0.6637781873740107
PDLIM1,0.6623283485999171
RBM8A,0.6611005071279229
NDUFA6,0.6607369892299175
TM9SF2,0.6607341471294693
RAB2A,0.6604470768018275
AKR1C2,0.660086344483475
IFI16,0.6595580405648181
TMEM258,0.658806776467538
ACADVL,0.6586442100784636
COL16A1,0.6583499382219172
EMP2,0.6579999406606156
PLD3,0.6579342756839778
CAPN1,0.6568028390999662
KLK5,0.6567615871595232
PRDX4,0.6560217468746451
YWHAH,0.6557415226684106
MPZL2,0.6557046693583198
NME1,0.6549248820701182
CTBP1,0.6547331847990585
CALU,0.6542469020069435
HNRNPL,0.6541059169153504
SERPINE2,0.6539916603375744
LAMC2,0.6538057839436247
SPTSSA,0.6530656337441988
SRP72,0.652826283423119
WDR83OS,0.6523803027951165
PSMC1,0.6521644281433118
FLOT2,0.6517982400509695
SNRPF,0.6509873092371896
HLA.DRB1,0.6509124302607499
CD248,0.6508641427271808
PDGFRB,0.6503968751489722
SOD1,0.6503805440190612
CSNK1E,0.6498399899890092
HNRNPR,0.6498174159139987
GIPC1,0.6494886804100694
POLR2E,0.6488172045310602
ATP5J2,0.6488024251695895
BOLA2B,0.6481252397527758
SHISA5,0.6480117641043979
NOP10,0.6479660310097878
MT1E,0.6475832703097767
PGRMC2,0.6473717756125311
QSOX1,0.6469882806602693
FGFR3,0.6464511720056565
UBE2I,0.6460201559427953
MBNL1,0.6456166927684222
ZNF185,0.6454805324211815
FBXW5,0.6452162471285324
TMEM54,0.6451542184052877
ZNHIT1,0.6442066804067978
LRRFIP1,0.6440657813422728
NELL2,0.6439973268386544
ARL6IP1,0.6438102612629631
SEP15,0.6425427245284547
CD93,0.6414658525181527
PSMD3,0.6409534952103697
TAP1,0.6393237807695439
HUWE1,0.638759452430223
SERPINB4,0.6384226311713654
NAA50,0.6381704528501492
PPIB,0.6379419114712058
SRM,0.6378356122121905
IFNGR1,0.6376643467275117
MRPS21,0.6372233333177124
TCF4,0.6371477227287972
DEGS1,0.6364889583544225
RNF145,0.6356208751237156
CCL21,0.6350803410029964
ADGRG1,0.634958554429329
SCAND1,0.6342911430887433
PABPC4,0.6339612384110886
MGAT1,0.6339055813898314
ILF2,0.6325697344758653
NCOR2,0.6323997167660701
POLR2A,0.631904339257455
UBE2D2,0.6315169158262133
LMO4,0.6314101514980098
NRBP1,0.6305168103303341
SPCS1,0.6298234240207451
SERINC3,0.6296345328060996
VKORC1,0.6296200567720741
MOB1A,0.6291783155984436
GGH,0.628647597494307
